[1.10s -> 8.46s]  Hi, it's me beluga and by now you've probably heard the news the allegations
[9.26s -> 12.46s]  Are true
[12.46s -> 20.54s]  Many of you have pointed out that my videos are filmed very very late sometimes even past midnight and that's because
[22.30s -> 25.10s]  Every night at 7 p.m. I
[26.08s -> 38.14s]  Turned into a cat. Hello. Is this Jake Paul? Yo
[39.10s -> 42.18s]  What's up, bro, I have something we're here
[42.94s -> 51.14s]  For sale. It's just also the dopest version of Andrew. I go back says Jake Paul like I said. Hey guys, I'm back
[52.58s -> 59.30s]  Before my time's up, I just want to say thank you. This has been the craziest YouTube journey of all time
[59.30s -> 66.54s]  I think we might actually be the fastest channel to hit four million subscribers in three months with like
[66.94s -> 68.70s]  50 videos honestly
[68.70s -> 74.06s]  I just feel super blessed to have some of the best fans in the world. I've always enjoyed making people laugh
[74.10s -> 81.22s]  That's why I started YouTube to see this enormous amount of people come together and build this awesome community
[81.34s -> 84.90s]  It's just it's really awesome and for that
[85.46s -> 92.14s]  Thank you. I want you to pick a number between one and ten seven
